StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Prolific ID,Gender Q,Age Q,Income Q,Deceased of Cancer Q,Previous Donation Q,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q8_1,GROUP
2022-03-30 19:17:10,2022-03-30 19:18:01,IP Address,70.189.141.207,100,50,True,2022-03-30 19:18:01,R_2y72GgPXwM86dft,,,,,36.15020751953125,-115.033599853515625,anonymous,EN,60bf849bf18b8fd752749f0b,Male,20-29,"$50,000-$99,999",No,Yes,,,,,2.361,22.713,32.159,11,1,TREAT_POS
2022-03-30 19:19:40,2022-03-30 19:20:52,IP Address,70.189.198.229,100,71,True,2022-03-30 19:20:52,R_1yLQmUBmZbNzSnL,,,,,36.128997802734375,-115.27649688720703125,anonymous,EN,610a2019b9154b7005503d15,Female,20-29,"$20,000-$49,999",No,No,,,,,,,,,6,CONTROL
2022-03-30 19:20:14,2022-03-30 19:21:20,IP Address,98.227.214.53,100,66,True,2022-03-30 19:21:21,R_2b1aFMny2Uk9Qjz,,,,,41.42529296875,-87.35649871826171875,anonymous,EN,610ad9de7928e140edf063f8,Female,30-39,"Under $20,000",No,Yes,0,0,46.562,0,,,,,9,TREAT_NEG
2022-03-30 19:20:13,2022-03-30 19:22:30,IP Address,73.145.245.8,100,136,True,2022-03-30 19:22:30,R_1K6JFmbVxRMiBJc,,,,,42.347198486328125,-83.0323028564453125,anonymous,EN,5c42bcb65aca820001f71328,Female,20-29,"$20,000-$49,999",No,Yes,,,,,0,0,39.354,0,7,TREAT_POS
2022-03-30 19:24:21,2022-03-30 19:24:55,IP Address,74.76.64.28,100,33,True,2022-03-30 19:24:55,R_28Ycuv6xzMsYVIn,,,,,43.0034027099609375,-73.84200286865234375,anonymous,EN,60fd7a97de22ce1c48b29ba3,Female,60 and above,"Above $150,000",No,Yes,,,,,,,,,7,CONTROL
2022-03-30 19:24:28,2022-03-30 19:26:24,IP Address,69.150.96.103,100,116,True,2022-03-30 19:26:24,R_1QoX1S2DUe5uMWG,,,,,35.8450927734375,-86.4900970458984375,anonymous,EN,5e2a4ad0e8a5c40ab6f047c5,Non-binary / third gender,20-29,"$20,000-$49,999",Yes,Yes,12.785,12.785,34.446,1,,,,,6,TREAT_NEG
2022-03-30 19:27:37,2022-03-30 19:27:57,IP Address,174.198.8.215,100,20,True,2022-03-30 19:27:57,R_bJiY8WiBH11kf2F,,,,,40.100494384765625,-75.37090301513671875,anonymous,EN,60fcbc618cbdbb9771e49ec7,Female,20-29,"$100,000-$150,000",No,Yes,,,,,,,,,6,CONTROL
2022-03-30 19:27:43,2022-03-30 19:28:58,IP Address,67.183.235.220,100,75,True,2022-03-30 19:28:59,R_3KI5igXOBrrACaT,,,,,47.9004974365234375,-122.24720001220703125,anonymous,EN,55b6ed4afdf99b437183fa6f,Female,40-49,"$50,000-$99,999",Yes,Yes,0,0,37.638,0,,,,,5,TREAT_NEG
2022-03-30 19:30:02,2022-03-30 19:30:30,IP Address,75.97.229.90,100,27,True,2022-03-30 19:30:30,R_1H2zoL7sJ0knqnX,,,,,40.8325042724609375,-75.7014007568359375,anonymous,EN,5fdc492c0ad48b18df09305b,Female,20-29,"$50,000-$99,999",No,Yes,,,,,,,,,7,CONTROL
2022-03-30 19:29:41,2022-03-30 19:30:42,IP Address,172.58.111.193,100,61,True,2022-03-30 19:30:43,R_2uUkTpphaHoXxoM,,,,,32.7122955322265625,-96.7938995361328125,anonymous,EN,6108a7ad8389c7633a4edfc8,Non-binary / third gender,Under 20,"$100,000-$150,000",No,No,,,,,9.066,32.769,33.737,14,8,TREAT_POS
2022-03-30 19:30:04,2022-03-30 19:31:01,IP Address,73.48.38.103,100,57,True,2022-03-30 19:31:02,R_2uQmwqIuznKmWYy,,,,,38.8867950439453125,-94.82230377197265625,anonymous,EN,578e8bd7baec1b00016977c1,Female,20-29,"$50,000-$99,999",No,Yes,0.605,21.618,34.876,3,,,,,7,TREAT_NEG
2022-03-30 19:31:07,2022-03-30 19:32:14,IP Address,73.130.63.137,100,66,True,2022-03-30 19:32:14,R_1d4D5Fa9g2OOR9P,,,,,41.2382049560546875,-76.997802734375,anonymous,EN,60fcd7a49c3def3068403b1b,Female,20-29,"$50,000-$99,999",Yes,Yes,,,,,0,0,37.824,0,9,TREAT_POS
2022-03-30 19:33:00,2022-03-30 19:33:36,IP Address,107.210.135.21,100,35,True,2022-03-30 19:33:36,R_V1IVQhEIgtTvtxD,,,,,32.725494384765625,-96.62329864501953125,anonymous,EN,60fcf05ab368fd88bb8075ad,Female,20-29,"$50,000-$99,999",Yes,Yes,,,,,,,,,2,CONTROL
2022-03-30 19:32:46,2022-03-30 19:33:36,IP Address,71.255.234.103,100,50,True,2022-03-30 19:33:36,R_3fI7p6xE27pELPN,,,,,38.771392822265625,-77.06569671630859375,anonymous,EN,60d5e64ec97dc4a68f7a2842,Male,30-39,"Above $150,000",Yes,Yes,4.4,27.867,31.063,6,,,,,8,TREAT_NEG
2022-03-30 19:32:58,2022-03-30 19:33:52,IP Address,98.10.169.216,100,53,True,2022-03-30 19:33:52,R_1LvYl9vHzflBEJW,,,,,42.9967041015625,-78.1968994140625,anonymous,EN,60fe28ee2bd685120c459dee,Female,20-29,"$50,000-$99,999",No,Yes,,,,,0,0,31.528,0,5,TREAT_POS
2022-03-30 19:34:02,2022-03-30 19:34:32,IP Address,24.161.49.89,100,30,True,2022-03-30 19:34:32,R_dgtzmyb1g39YSfD,,,,,40.7279052734375,-73.9965972900390625,anonymous,EN,60dbb256adc3c682558100f0,Female,Under 20,"Above $150,000",Yes,Yes,,,,,,,,,5,CONTROL
2022-03-30 19:32:20,2022-03-30 19:35:02,IP Address,98.36.216.149,100,162,True,2022-03-30 19:35:03,R_1dMEFatyTK8aCKh,,,,,38.6157073974609375,-121.5052947998046875,anonymous,EN,5ec3884fa0c1ef0009b57549,Female,20-29,"$20,000-$49,999",Yes,Yes,,,,,0,0,35.498,0,8,TREAT_POS
2022-03-30 19:34:20,2022-03-30 19:35:22,IP Address,67.190.30.149,100,61,True,2022-03-30 19:35:22,R_rlhxFHD7SUg1hOp,,,,,38.746307373046875,-104.71790313720703125,anonymous,EN,61084b19533adb7e7518d4f1,Female,20-29,"Under $20,000",Yes,Yes,0,0,32.994,0,,,,,8,TREAT_NEG
2022-03-30 19:35:02,2022-03-30 19:35:26,IP Address,76.187.205.203,100,23,True,2022-03-30 19:35:26,R_1i9xGwe0ACh4mYL,,,,,33.0756988525390625,-96.7826995849609375,anonymous,EN,6111d9d0a60630fd46b3c7c9,Female,20-29,"$50,000-$99,999",Yes,Yes,,,,,,,,,5,CONTROL
2022-03-30 19:35:37,2022-03-30 19:36:56,IP Address,174.195.146.125,100,78,True,2022-03-30 19:36:56,R_1r09bd8M22QBry5,,,,,33.97760009765625,-117.7375030517578125,anonymous,EN,5c6ef14c2cd3cb0001fadd0e,Female,30-39,"$50,000-$99,999",Yes,Yes,,,,,5.233,37.174,38.374,8,4,TREAT_POS
2022-03-30 19:35:12,2022-03-30 19:37:27,IP Address,107.77.249.63,100,135,True,2022-03-30 19:37:28,R_3s6PCb1NL6EzWtn,,,,,34.000701904296875,-81.03479766845703125,anonymous,EN,5f5e6cd10dad3d0e268e569f,Female,40-49,"$20,000-$49,999",Yes,Yes,27.023,56.346,58.2,7,,,,,10,TREAT_NEG
2022-03-30 19:38:12,2022-03-30 19:38:36,IP Address,47.219.5.127,100,23,True,2022-03-30 19:38:36,R_3Eb69fuO7XS3HO9,,,,,32.4257049560546875,-99.70529937744140625,anonymous,EN,612ad841ec22658514a7cff5,Male,30-39,"$50,000-$99,999",Yes,Yes,,,,,,,,,3,CONTROL
2022-03-30 19:37:16,2022-03-30 19:38:56,IP Address,73.28.114.92,100,100,True,2022-03-30 19:38:57,R_3HiX6I1dLlpQhJP,,,,,26.2845001220703125,-81.7563018798828125,anonymous,EN,5e69b0b5cd41350227fcdccd,Female,30-39,"$50,000-$99,999",Yes,Yes,,,,,,,,,5,CONTROL
2022-03-30 19:37:12,2022-03-30 19:39:04,IP Address,99.34.145.32,100,112,True,2022-03-30 19:39:05,R_2ZKSnxI6t0z2ELf,,,,,34.77569580078125,-92.37239837646484375,anonymous,EN,602451f15e338c12534710d0,Female,20-29,"$50,000-$99,999",Yes,Yes,,,,,0,0,81.936,0,9,TREAT_POS
2022-03-30 19:38:52,2022-03-30 19:40:08,IP Address,71.12.235.188,100,75,True,2022-03-30 19:40:08,R_3j34ew8pYdgeREO,,,,,30.4940948486328125,-90.47509765625,anonymous,EN,6112e8144698d4cb4141d3f7,Female,20-29,"$100,000-$150,000",Yes,Yes,,,,,0,0,36.981,0,8,TREAT_POS
2022-03-30 19:38:38,2022-03-30 19:40:24,IP Address,24.158.78.140,100,105,True,2022-03-30 19:40:24,R_w1zKhWCZ4WAl3zj,,,,,35.053497314453125,-82.058197021484375,anonymous,EN,5ce9bfc4d439ae00015968dd,Female,20-29,"$20,000-$49,999",Yes,Yes,1.763,43.309,50.442,7,,,,,5,TREAT_NEG
2022-03-30 19:37:54,2022-03-30 19:40:25,IP Address,97.103.45.195,100,151,True,2022-03-30 19:40:25,R_10VkQeiziVZMy0Z,,,,,28.493194580078125,-81.28780364990234375,anonymous,EN,55fb0c5377f33b0005cb1f12,Female,30-39,"$50,000-$99,999",Yes,Yes,0,0,117.919,0,,,,,5,TREAT_NEG
2022-03-30 19:40:24,2022-03-30 19:40:56,IP Address,100.8.154.214,100,31,True,2022-03-30 19:40:56,R_1QMUJmk503dOATu,,,,,40.4131011962890625,-74.2371978759765625,anonymous,EN,5bcce104fb569300011753dd,Male,40-49,"$50,000-$99,999",Yes,Yes,,,,,,,,,9,CONTROL
2022-03-30 19:40:38,2022-03-30 19:41:53,IP Address,23.84.130.225,100,75,True,2022-03-30 19:41:53,R_2PmRlIs9l7XNYA3,,,,,38.5482025146484375,-90.329803466796875,anonymous,EN,60fe1f50d7381139258f29a7,Female,20-29,"Above $150,000",Yes,Yes,,,,,0,0,37.679,0,7,TREAT_POS
2022-03-30 19:42:41,2022-03-30 19:43:45,IP Address,47.25.47.14,100,63,True,2022-03-30 19:43:45,R_31n13HslWdEF7MS,,,,,29.7978057861328125,-90.80970001220703125,anonymous,EN,611495adce8e62c7c58a75a7,Male,40-49,"$50,000-$99,999",Yes,Yes,0,0,34.953,0,,,,,9,TREAT_NEG
2022-03-30 19:43:17,2022-03-30 19:43:52,IP Address,173.93.48.109,100,35,True,2022-03-30 19:43:52,R_2rr0Xs5HrEMCfRl,,,,,34.2664031982421875,-77.86139678955078125,anonymous,EN,60fcf79b3beb6f5b749a64b9,Female,20-29,"Under $20,000",Yes,No,,,,,,,,,2,CONTROL
2022-03-30 19:43:02,2022-03-30 19:44:04,IP Address,71.205.32.116,100,61,True,2022-03-30 19:44:04,R_27pPQ8hjrhetpk4,,,,,39.443603515625,-104.85359954833984375,anonymous,EN,5f540c0d1ed01f77d9512fac,Male,20-29,"$50,000-$99,999",Yes,Yes,,,,,13.255,13.911,44.268,2,10,TREAT_POS
2022-03-30 19:44:00,2022-03-30 19:44:25,IP Address,24.191.127.54,100,25,True,2022-03-30 19:44:25,R_2UWynDaUU8zg7we,,,,,40.5977935791015625,-74.00009918212890625,anonymous,EN,34,Female,30-39,"Under $20,000",No,Yes,,,,,,,,,1,CONTROL
2022-03-30 19:44:14,2022-03-30 19:45:28,IP Address,75.89.248.212,100,74,True,2022-03-30 19:45:29,R_247QuC4eCpa28Rf,,,,,35.4665985107421875,-79.1757965087890625,anonymous,EN,5f7a790b792e0818796d2e6d,Male,20-29,"$20,000-$49,999",Yes,Yes,32.802,32.802,33.319,1,,,,,6,TREAT_NEG
2022-03-30 19:43:34,2022-03-30 19:45:39,IP Address,73.245.149.162,100,125,True,2022-03-30 19:45:40,R_2z8gbljM2UIDuRa,,,,,25.666595458984375,-80.40360260009765625,anonymous,EN,610075c1ef04d1f734032f69,Female,Under 20,"Under $20,000",Yes,Yes,,,,,26.237,28.804,37.531,2,5,TREAT_POS
2022-03-30 19:45:03,2022-03-30 19:45:44,IP Address,76.107.19.149,100,40,True,2022-03-30 19:45:45,R_2D8POJuL2NeFsGa,,,,,35.160003662109375,-89.77680206298828125,anonymous,EN,5fda6a5e1dfa074a5af767ae,Female,20-29,"$20,000-$49,999",No,Yes,,,,,,,,,10,CONTROL
2022-03-30 19:45:32,2022-03-30 19:46:36,IP Address,172.58.140.143,100,63,True,2022-03-30 19:46:36,R_22Yx318W9f8CHLu,,,,,41.850006103515625,-87.71649932861328125,anonymous,EN,6101652deeafbb4a9f346388,Female,20-29,"Under $20,000",Yes,Yes,2.78,10.533,30.942,6,,,,,8,TREAT_NEG
2022-03-30 19:45:29,2022-03-30 19:46:59,IP Address,172.58.38.184,100,90,True,2022-03-30 19:46:59,R_2sXtuvT08Wd1hrj,,,,,38.6352996826171875,-121.4557952880859375,anonymous,EN,6093fd5a88dc281d2088b7c9,Female,30-39,"$50,000-$99,999",Yes,Yes,,,,,26.762,26.762,32.052,1,2,TREAT_POS
2022-03-30 19:46:37,2022-03-30 19:47:37,IP Address,72.77.44.153,100,59,True,2022-03-30 19:47:37,R_24pmC196GJrdg5l,,,,,40.368499755859375,-80.0503997802734375,anonymous,EN,5f1cbe78b44cb713acd7474e,Female,40-49,"$100,000-$150,000",No,Yes,,,,,,,,,10,CONTROL
2022-03-30 19:46:35,2022-03-30 19:47:39,IP Address,73.115.66.54,100,64,True,2022-03-30 19:47:39,R_3qwXq2kjartJQTK,,,,,29.7223052978515625,-95.62850189208984375,anonymous,EN,5589d3dafdf99b18be3204b7,Female,30-39,"$100,000-$150,000",No,Yes,,,,,1.101,39.916,41.436,11,10,TREAT_POS
2022-03-30 19:46:46,2022-03-30 19:47:49,IP Address,172.58.216.71,100,63,True,2022-03-30 19:47:49,R_3nr432oM03Npn3o,,,,,41.8332977294921875,-71.431396484375,anonymous,EN,61057003a06aaf6ab19fcbaa,Female,20-29,"Above $150,000",Yes,Yes,15.768,16.319,39.363,2,,,,,3,TREAT_NEG
2022-03-30 19:47:13,2022-03-30 19:48:59,IP Address,47.221.94.62,100,105,True,2022-03-30 19:48:59,R_1nTxdr64pyduIUv,,,,,30.1212005615234375,-95.26779937744140625,anonymous,EN,61119b2c3b5f3f398195252b,Female,Under 20,"$50,000-$99,999",No,Yes,4.94,38.247,62.604,4,,,,,9,TREAT_NEG
2022-03-30 19:48:47,2022-03-30 19:49:52,IP Address,68.48.108.126,100,64,True,2022-03-30 19:49:52,R_1DnASEironzsjtD,,,,,42.7606048583984375,-84.55629730224609375,anonymous,EN,605a24ab965147011d9d2e94,Male,30-39,"Above $150,000",No,Yes,,,,,,,,,10,CONTROL
2022-03-30 19:49:24,2022-03-30 19:50:29,IP Address,68.162.101.85,100,64,True,2022-03-30 19:50:29,R_1kZIdtDiZzCbN5Q,,,,,39.9340057373046875,-75.160003662109375,anonymous,EN,60fee6b26d66c814c4f3a5b4,Female,30-39,"$20,000-$49,999",Yes,Yes,,,,,0,0,38.659,0,5,TREAT_POS
2022-03-30 19:50:17,2022-03-30 19:51:28,IP Address,73.178.30.192,100,71,True,2022-03-30 19:51:29,R_22mIwQdWW93UXHp,,,,,40.390899658203125,-74.11530303955078125,anonymous,EN,5c63b85462e1660001d19ae5,Male,30-39,"$50,000-$99,999",Yes,Yes,21.889,21.889,31.691,1,,,,,6,TREAT_NEG
2022-03-30 19:51:53,2022-03-30 19:52:30,IP Address,70.174.29.232,100,36,True,2022-03-30 19:52:30,R_1KqLJe8uiwSiOOR,,,,,36.8282012939453125,-76.0236968994140625,anonymous,EN,5dcf33e0961cb308755ac95b,Female,30-39,"$100,000-$150,000",No,Yes,,,,,,,,,7,CONTROL
