StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender Q,Age Q,Income Q,Deceased of Cancer Q,Previous Donation Q,Q8_1,GROUP
2022-03-03 22:22:41,2022-03-03 22:23:13,IP Address,73.225.220.77,100,31,True,2022-03-03 22:23:13,R_eeVSNhzFxIDYRfH,,,,,47.507904052734375,-122.17729949951171875,anonymous,EN,Female,30-39,"Above $150,000",Yes,Yes,7,TREAT_NEG
2022-03-03 22:24:18,2022-03-03 22:26:10,IP Address,73.225.220.77,100,112,True,2022-03-03 22:26:11,R_2V4u7jy4N86WrKh,,,,,47.507904052734375,-122.17729949951171875,anonymous,EN,Male,40-49,"Above $150,000",No,Yes,8,TREAT_POS
2022-03-03 22:27:07,2022-03-03 22:28:36,IP Address,31.155.247.237,100,88,True,2022-03-03 22:28:36,R_1hLk2xQEptNFQWs,,,,,41.0106964111328125,28.9344940185546875,anonymous,EN,Male,40-49,"$50,000-$99,999",Yes,Yes,2,CONTROL
2022-03-04 08:26:03,2022-03-04 08:27:42,IP Address,50.54.240.233,100,99,True,2022-03-04 08:27:43,R_3gSLDRjL2Q1LOAY,,,,,47.7678070068359375,-122.1186981201171875,anonymous,EN,Male,30-39,"Above $150,000",No,Yes,7,TREAT_NEG
2022-03-04 09:45:35,2022-03-04 09:46:22,IP Address,50.54.240.233,100,46,True,2022-03-04 09:46:23,R_1dsQAjEPVOtiqzh,,,,,47.7505950927734375,-122.20999908447265625,anonymous,EN,Female,30-39,"Above $150,000",Yes,Yes,10,TREAT_POS
2022-03-04 12:56:05,2022-03-04 12:56:40,IP Address,96.73.116.14,100,35,True,2022-03-04 12:56:40,R_eGbnVsm3AQWZKBb,,,,,29.9340057373046875,-95.61299896240234375,anonymous,EN,Female,40-49,"$100,000-$150,000",Yes,Yes,8,CONTROL
2022-03-04 13:03:55,2022-03-04 13:06:03,IP Address,73.115.115.145,100,127,True,2022-03-04 13:06:03,R_28ICrvO2GDCHjXP,,,,,29.743896484375,-95.60669708251953125,anonymous,EN,Female,60 and above,"$20,000-$49,999",No,Yes,,TREAT_POS
2022-03-04 13:27:03,2022-03-04 13:28:03,IP Address,207.31.23.161,100,59,True,2022-03-04 13:28:05,R_2Yyrak0gGq93ka5,,,,,37.28759765625,-121.9844970703125,anonymous,EN,Female,40-49,"Above $150,000",Yes,Yes,10,TREAT_NEG
2022-03-04 13:30:03,2022-03-04 13:30:30,IP Address,24.4.177.32,100,27,True,2022-03-04 13:30:31,R_12ohNGleVoB9u8A,,,,,37.2599029541015625,-121.9170989990234375,anonymous,EN,Male,40-49,"Above $150,000",Yes,Yes,8,CONTROL
2022-03-04 13:41:42,2022-03-04 13:42:20,IP Address,67.164.14.63,100,38,True,2022-03-04 13:42:21,R_3dZgj09XwzyjiPm,,,,,37.2808074951171875,-121.9571990966796875,anonymous,EN,Female,30-39,"Above $150,000",Yes,No,7,TREAT_NEG
2022-03-05 12:00:06,2022-03-05 12:01:04,IP Address,173.31.193.70,100,58,True,2022-03-05 12:01:05,R_ehBOVUM6J3J95sJ,,,,,38.93359375,-92.36299896240234375,anonymous,EN,Female,50-59,"Above $150,000",Yes,Yes,10,CONTROL
2022-03-05 12:06:55,2022-03-05 12:07:49,IP Address,50.35.241.124,100,54,True,2022-03-05 12:07:50,R_6lnpEc2ZXTKAgFz,,,,,47.7946014404296875,-122.21929931640625,anonymous,EN,Female,40-49,"Above $150,000",Yes,Yes,10,TREAT_POS
2022-03-05 12:19:27,2022-03-05 12:20:39,IP Address,173.31.193.70,100,72,True,2022-03-05 12:20:40,R_3qr4Aemi0dthUHA,,,,,38.93359375,-92.36299896240234375,anonymous,EN,Male,60 and above,"Above $150,000",Yes,Yes,8,TREAT_POS
2022-03-06 20:10:30,2022-03-06 20:11:03,IP Address,50.47.86.20,100,33,True,2022-03-06 20:11:03,R_1M2sLlegPXTF2bT,,,,,47.6721954345703125,-122.125701904296875,anonymous,EN,Male,40-49,"Above $150,000",No,Yes,8,TREAT_NEG
2022-03-08 15:58:14,2022-03-08 15:59:00,IP Address,75.49.253.8,100,45,True,2022-03-08 15:59:01,R_1QiKCqSIApKYGnt,,,,,37.5625,-122.000396728515625,anonymous,EN,Male,40-49,"Above $150,000",Yes,Yes,5,CONTROL
2022-03-08 16:31:10,2022-03-08 16:31:38,IP Address,75.164.42.233,100,27,True,2022-03-08 16:31:38,R_1ImvlOyCDISg75f,,,,,45.5644989013671875,-122.6446990966796875,anonymous,EN,Female,30-39,"Above $150,000",No,Yes,7,TREAT_NEG
2022-03-08 16:33:10,2022-03-08 16:33:58,IP Address,73.71.157.24,100,47,True,2022-03-08 16:33:58,R_3spHfo9ebDxAkYj,,,,,37.3177032470703125,-122.04380035400390625,anonymous,EN,Male,40-49,"Above $150,000",No,Yes,9,TREAT_POS
2022-03-08 17:09:34,2022-03-08 17:10:14,IP Address,184.92.215.115,100,40,True,2022-03-08 17:10:14,R_3CPWRkK3JbvloUa,,,,,32.8235931396484375,-96.681396484375,anonymous,EN,Male,40-49,"Above $150,000",No,Yes,0,CONTROL
2022-03-08 19:14:20,2022-03-08 19:15:17,IP Address,217.180.228.226,100,57,True,2022-03-08 19:15:17,R_erJkgaDDS2hVgxH,,,,,41.624298095703125,-93.77469635009765625,anonymous,EN,Male,30-39,"Above $150,000",Yes,Yes,7,TREAT_NEG
2022-03-08 19:37:52,2022-03-08 19:38:47,IP Address,69.216.117.82,100,55,True,2022-03-08 19:38:47,R_1PXkAiD05sJGdU1,,,,,29.7805023193359375,-95.51290130615234375,anonymous,EN,Male,40-49,"$100,000-$150,000",Yes,Yes,5,TREAT_POS
2022-03-08 20:10:41,2022-03-08 20:11:29,IP Address,184.166.85.30,100,48,True,2022-03-08 20:11:29,R_uaWUZZKsiwB4Sg9,,,,,46.896697998046875,-114.00209808349609375,anonymous,EN,Male,40-49,"Above $150,000",No,Yes,5,CONTROL
